date,current_total_hostpitalized_case,change_current_total_hostpitalized_case,fully_vaccinated_cumulative,change_in_fully_vaccinated_cumulative,active_cases,change_in_active_cases,deaths_cummulative,change_in_deaths_cummulative
2022-01-06,1926,81.0,11430026.0,8570.0,135313,1283.0,9967,18.0
2022-01-07,2115,189.0,11438946.0,8920.0,135223,-90.0,10010,43.0
2022-01-08,2217,102.0,11446996.0,8050.0,136548,1325.0,10038,28.0
2022-01-09,2378,161.0,11454409.0,7413.0,137822,1274.0,10056,18.0
2022-01-10,2551,173.0,11459231.0,4822.0,140523,2701.0,10062,6.0
2022-01-11,2636,85.0,11467248.0,8017.0,138560,-1963.0,10078,16.0
2022-01-12,3001,365.0,11477265.0,10017.0,132188,-6372.0,10119,41.0
2022-01-13,3135,134.0,11488319.0,11054.0,122246,-9942.0,10152,33.0
2022-01-14,3266,131.0,11500872.0,12553.0,111496,-10750.0,10185,33.0
2022-01-15,3399,133.0,11514163.0,13291.0,99315,-12181.0,10223,38.0
2022-01-16,3367,-32.0,11524974.0,10811.0,94408,-4907.0,10260,37.0
2022-01-17,3503,136.0,11532004.0,7030.0,94614,206.0,10272,12.0
2022-01-18,3464,-39.0,11535476.0,3472.0,91473,-3141.0,10304,32.0
2022-01-19,3407,-57.0,11544197.0,8721.0,84266,-7207.0,10357,53.0
2022-01-20,3507,100.0,11553334.0,9137.0,79370,-4896.0,10425,68.0
2022-01-21,3570,63.0,11563778.0,10444.0,74905,-4465.0,10486,61.0
2022-01-22,3516,-54.0,11578028.0,14250.0,71387,-3518.0,10527,41.0
2022-01-23,3383,-133.0,11592786.0,14758.0,67674,-3713.0,10580,53.0
2022-01-24,3353,-30.0,11601282.0,8496.0,65504,-2170.0,10614,34.0
2022-01-25,3385,32.0,11611833.0,10551.0,61566,-3938.0,10672,58.0
2022-01-26,3339,-46.0,11627067.0,15234.0,56929,-4637.0,10761,89.0
2022-01-27,3181,-158.0,11642508.0,15441.0,54074,-2855.0,10828,67.0
2022-01-28,3101,-80.0,11658407.0,15899.0,51437,-2637.0,10895,67.0
2022-01-29,3023,-78.0,11678259.0,19852.0,49551,-1886.0,10945,50.0
2022-01-30,2855,-168.0,11699630.0,21371.0,46950,-2601.0,10998,53.0
2022-01-31,2857,2.0,11710121.0,10491.0,44863,-2087.0,11025,27.0
2022-02-01,2824,-33.0,11722018.0,11897.0,42609,-2254.0,11078,53.0
2022-02-02,2602,-222.0,11737287.0,15269.0,41534,-1075.0,11147,69.0
2022-02-03,2462,-140.0,11751748.0,14461.0,39656,-1878.0,11219,72.0
2022-02-04,2325,-137.0,11765163.0,13415.0,38021,-1635.0,11272,53.0
2022-02-05,2191,-134.0,11782458.0,17295.0,36524,-1497.0,11329,57.0
2022-02-06,1962,-229.0,11799247.0,16789.0,34914,-1610.0,11382,53.0
2022-02-07,1910,-52.0,11807378.0,8131.0,33435,-1479.0,11392,10.0
2022-02-08,2025,115.0,11816906.0,9528.0,32078,-1357.0,11431,39.0
2022-02-09,1906,-119.0,11827603.0,10697.0,30182,-1896.0,11493,62.0
2022-02-10,1757,-149.0,11839642.0,12039.0,29196,-986.0,11536,43.0
2022-02-11,1739,-18.0,11852869.0,13227.0,28354,-842.0,11585,49.0
2022-02-12,1610,-129.0,11866728.0,13859.0,27957,-397.0,11615,30.0
2022-02-13,1441,-169.0,11880222.0,13494.0,27032,-925.0,11632,17.0
2022-02-14,1422,-19.0,11887094.0,6872.0,26170,-862.0,11639,7.0
2022-02-15,1413,-9.0,11894092.0,6998.0,25014,-1156.0,11656,17.0
2022-02-16,1314,-99.0,11904009.0,9917.0,23962,-1052.0,11702,46.0
2022-02-17,1294,-20.0,11914103.0,10094.0,23048,-914.0,11738,36.0
2022-02-18,1234,-60.0,11923323.0,9220.0,22413,-635.0,11770,32.0
2022-02-19,1118,-116.0,11933520.0,10197.0,22024,-389.0,11777,7.0
2022-02-20,1041,-77.0,11941850.0,8330.0,21302,-722.0,11794,17.0
2022-02-21,1068,27.0,11945695.0,3845.0,20708,-594.0,11808,14.0
2022-02-22,1050,-18.0,11947433.0,1738.0,19984,-724.0,11814,6.0
2022-02-23,1046,-4.0,11954169.0,6736.0,18690,-1294.0,11829,15.0
2022-02-24,1054,8.0,11961464.0,7295.0,18449,-241.0,11868,39.0
2022-02-25,1002,-52.0,11968323.0,6859.0,18410,-39.0,11906,38.0
2022-02-26,1008,6.0,11975571.0,7248.0,18561,151.0,11939,33.0
2022-02-27,929,-79.0,11983227.0,7656.0,18471,-90.0,11948,9.0
2022-02-28,926,-3.0,11985999.0,2772.0,18178,-293.0,11951,3.0
2022-03-01,930,4.0,11990370.0,4371.0,17455,-723.0,11968,17.0
2022-03-02,862,-68.0,11995298.0,4928.0,16976,-479.0,11994,26.0
2022-03-03,812,-50.0,11999755.0,4457.0,16926,-50.0,12013,19.0
2022-03-04,789,-23.0,12004374.0,4619.0,16904,-22.0,12041,28.0
2022-03-05,780,-9.0,12009849.0,5475.0,16873,-31.0,12062,21.0
2022-03-06,714,-66.0,12015750.0,5901.0,16994,121.0,12082,20.0
2022-03-07,710,-4.0,12017695.0,1945.0,16699,-295.0,12086,4.0
2022-03-08,729,19.0,12020555.0,2860.0,16237,-462.0,12102,16.0
2022-03-09,712,-17.0,12024289.0,3734.0,16206,-31.0,12129,27.0
2022-03-10,675,-37.0,12028352.0,4063.0,15950,-256.0,12149,20.0
