date,phu_name,at_least_one_dose_cumulative,fully_vaccinated_cumulative,third_dose_cumulative,total_population,percent_at_least_one_dose,percent_fully_vaccinated,percent_3doses,phu_num,active_cases,resolved_cases,deaths,archived_resolved_cases,archived_deaths,percent_active_cases,percent_deaths,percent_resolved_cases
2022-01-05,ALGOMA DISTRICT,97462.0,90614.0,37436.0,112839,86.37,80.30000000000001,33.18,2226,605,1712,20,1712.0,20.0,0.5361621425216458,0.017724368347823004,1.5172059305736492
2022-01-05,BRANT COUNTY,122961.0,115176.0,39174.0,144945,84.83000000000001,79.46,27.029999999999998,2227,1393,5605,41,5605.0,41.0,0.9610541929697471,0.028286591465728383,3.866984028424575
2022-01-05,DURHAM REGION,594471.0,555656.0,179033.0,671727,88.5,82.72,26.650000000000002,2230,6437,31226,390,31225.0,391.0,0.9582762044699707,0.05805930087669544,4.648614690194082
2022-01-05,GREY BRUCE,134295.0,126881.0,52177.0,167078,80.38,75.94,31.230000000000004,2233,913,3177,32,3177.0,32.0,0.5464513580483367,0.019152731059744552,1.9015070805252638
2022-01-05,HALDIMAND-NORFOLK,91832.0,86800.0,30805.0,114141,80.45,76.05,26.99,2234,789,3940,61,3933.0,68.0,0.6912502956869135,0.05344267178314541,3.451870931567097
2022-01-05,"HALIBURTON, KAWARTHA, PINE RIDGE",157023.0,148290.0,60898.0,183151,85.72999999999999,80.97,33.25,2235,1220,2937,62,2933.0,66.0,0.6661170291180502,0.03385184902075337,1.6035948479669782
2022-01-05,HALTON REGION,518871.0,480309.0,153883.0,579551,89.53,82.88,26.55,2236,6148,23486,226,23468.0,244.0,1.0608212219459547,0.038995705295996386,4.052447498149429
2022-01-05,CITY OF HAMILTON,470766.0,441668.0,160745.0,552042,85.28,80.01,29.12,2237,6692,28662,419,28654.0,427.0,1.212226605946649,0.07590002209976777,5.191996261154043
2022-01-05,HASTINGS & PRINCE EDWARD COUNTIES,138055.0,128868.0,55575.0,164832,83.75,78.18,33.72,2238,1475,2648,20,2648.0,20.0,0.8948505144632111,0.01213356629780625,1.6064841778295476
2022-01-05,CHATHAM-KENT,84538.0,79478.0,36389.0,101565,83.24000000000001,78.25,35.83,2240,598,3487,37,3485.0,39.0,0.5887855068182937,0.03642987249544627,3.433269334908679
2022-01-05,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",183121.0,168610.0,94339.0,200252,91.45,84.2,47.11,2241,1858,5188,22,5188.0,22.0,0.9278309330243893,0.010986157441623555,2.5907356730519546
2022-01-05,LAMBTON COUNTY,102468.0,96963.0,28304.0,126574,80.96,76.61,22.36,2242,1318,4968,81,4965.0,84.0,1.0412881002417558,0.06399418521971337,3.9249766934757533
