date,icu_unvac,icu_partial_vac,icu_full_vac,hospitalnonicu_unvac,hospitalnonicu_partial_vac,hospitalnonicu_full_vac,covid19_cases_unvac,covid19_cases_partial_vac,covid19_cases_full_vac,covid19_cases_vac_unknown,cases_unvac_rate_per100K,cases_partial_vac_rate_per100K,cases_full_vac_rate_per100K,deaths_boost_vac_rate_7ma,deaths_full_vac_rate_7ma,deaths_not_full_vac_rate_7ma
2021-08-18,58,6,5,80,10,16,309,41,98,37.0,7.34,4.05,1.02,,,
2021-08-19,55,7,6,76,9,14,382,46,75,28.0,9.11,4.6,0.78,,,
2021-08-20,68,7,5,86,11,20,426,64,103,57.0,10.2,6.49,1.06,,,
2021-08-21,67,9,7,103,9,23,427,63,137,62.0,10.26,6.5,1.41,,,
2021-08-22,59,9,8,83,7,24,411,65,124,44.0,10.69,7.94,1.62,,,
2021-08-23,63,10,8,102,9,23,444,76,158,39.0,9.91,6.85,1.27,,,
2021-08-24,71,10,7,131,13,28,279,41,114,52.0,6.75,4.37,1.16,,,
2021-08-25,81,9,9,137,11,30,398,74,135,53.0,9.67,7.98,1.37,,,
2021-08-26,89,9,10,138,14,31,395,82,141,60.0,9.63,8.95,1.43,,,
2021-08-27,89,8,9,141,16,27,485,83,147,66.0,11.86,9.16,1.49,,,
2021-08-28,89,7,8,149,19,30,500,100,160,75.0,12.26,11.18,1.62,,,
2021-08-29,69,9,11,119,15,35,425,64,189,62.0,10.45,7.23,1.91,,,
2021-08-30,72,8,11,118,13,35,403,73,167,51.0,9.92,8.3,1.68,,,
2021-08-31,87,8,10,152,19,34,326,43,91,65.0,8.05,4.93,0.92,,,
2021-09-01,93,6,11,163,14,37,397,52,152,55.0,9.84,6.02,1.53,,,
2021-09-02,90,8,14,143,12,28,540,88,173,64.0,13.43,10.23,1.73,,,
2021-09-03,103,8,12,145,17,34,499,68,179,60.0,12.48,7.92,1.79,,,
2021-09-04,106,7,12,153,16,33,559,92,208,85.0,14.05,10.75,2.07,,,
2021-09-05,94,7,13,129,13,28,482,98,168,63.0,12.16,11.5,1.67,,,
2021-09-06,93,7,12,136,14,25,351,64,124,42.0,8.88,7.53,1.23,,,
2021-09-07,94,5,9,135,13,32,339,37,130,58.0,8.59,4.36,1.29,,,
2021-09-08,114,7,8,162,14,28,319,56,136,44.0,8.12,6.62,1.35,,,
2021-09-09,108,8,11,149,9,34,497,57,178,66.0,12.71,6.76,1.76,,,
2021-09-10,112,9,14,163,18,31,534,76,189,49.0,13.71,9.05,1.87,,,
2021-09-11,103,8,15,159,12,42,499,80,211,67.0,12.87,9.6,2.08,,,
2021-09-12,87,9,12,141,11,33,475,66,182,61.0,12.28,7.98,1.79,,,
2021-09-13,78,7,10,126,9,28,388,44,125,43.0,9.58,5.02,1.26,,,
